#name,distance,star_mag,planet_type,discovery_yr,mass_ME,radius_RE,orbital_radius_AU,orbital_period_yr,eccentricity,detection_method
K2-187 b,1079.0,13.102,Super Earth,2018,1.87,1.2,0.0164,0.002190281,,Transit
K2-187 c,1079.0,13.102,Super Earth,2018,2.54,1.4,0.0392,0.007939767,,Transit
K2-187 d,1079.0,13.102,Neptune-like,2018,6.35,2.3968,0.072,0.01943874,,Transit
K2-187 e,1079.0,13.102,Super Earth,2018,4.27,1.9,0.1106,0.037234772,,Transit
K2-188 b,1458.0,12.657,Super Earth,2018,2.39,1.35,0.0289,0.004654347,,Transit
K2-188 c,1458.0,12.657,Neptune-like,2018,8.4,2.8224,0.0785,0.021355236,,Transit
K2-189 b,790.0,12.398,Super Earth,2018,2.92,1.52,0.0361,0.007118412,,Transit
K2-189 c,790.0,12.398,Neptune-like,2018,6.8,2.4976,0.068,0.0183436,,Transit
K2-18 b,124.0,13.477,Super Earth,2015,8.92,2.3632,0.1429,0.09007529,0.2,Transit
K2-18 c,124.0,13.477,Neptune-like,2017,7.51,2.6432,0.06,0.024640657,0.47,Radial Velocity
K2-190 b,524.0,11.138,Super Earth,2018,2.41,1.357,,0.027652293,,Transit
K2-190 c,524.0,11.138,Super Earth,2018,1.34,1.093,,0.05913758,,Transit
K2-191 b,937.0,13.329,Super Earth,2018,3.12,1.579,,0.007939767,,Transit
K2-192 b,723.0,12.656,Super Earth,2018,2.92,1.52,0.049,0.011498973,,Transit
K2-193 b,1344.0,13.341,Neptune-like,2018,14.8,3.9424,0.1184,0.04052019,,Transit
K2-194 b,2053.0,12.998,Neptune-like,2018,12.9,3.64,,0.108692676,,Transit
K2-195 b,1028.0,12.524,Neptune-like,2018,9.96,3.1248,0.1208,0.043531828,,Transit
K2-195 c,1028.0,12.524,Neptune-like,2018,7.16,2.576,,0.078028746,,Transit
K2-196 b,1908.0,12.241,Neptune-like,2018,12.6,3.5952,,0.1322382,,Transit
K2-197 b,808.0,12.199,Neptune-like,2018,7.08,2.5536,0.0806,0.022997946,,Transit
K2-198 b,361.0,10.971,Neptune-like,2018,16.3,4.1888,,0.046543464,,Transit
K2-198 c,361.0,10.971,Super Earth,2019,2.61,1.423,,0.009308693,,Transit
K2-198 d,361.0,10.971,Neptune-like,2019,6.52,2.4416,,0.02053388,,Transit
K2-199 b,351.0,12.358,Super Earth,2018,6.9,1.73,0.0382,0.008761123,0.02,Transit
K2-199 c,351.0,12.358,Neptune-like,2018,12.4,2.8448,0.0662,0.020260096,0.03,Transit
K2-19 b,945.0,13.024,Neptune-like,2015,32.4,6.9888,0.074,0.02162902,0.2,Transit
K2-19 c,945.0,13.024,Neptune-like,2015,10.8,4.0992,0.0971,0.032580424,0.21,Transit
K2-19 d,945.0,13.024,Super Earth,2016,10.0,1.11,0.0344,0.006844627,,Transit
K2-200 b,601.0,12.428,Super Earth,2018,2.43,1.364,,0.007665982,,Transit
K2-201 b,646.0,12.168,Super Earth,2018,2.54,1.4,,0.003011636,,Transit
K2-201 c,646.0,12.168,Neptune-like,2018,10.8,3.2816,,0.062422995,,Transit
K2-202 b,980.0,13.354,Neptune-like,2018,5.91,2.296,,0.009308693,,Transit
K2-203 b,542.0,12.391,Super Earth,2018,2.45,1.371,,0.026557151,,Transit
K2-204 b,1883.0,12.985,Neptune-like,2018,9.51,3.0464,,0.01943874,,Transit
K2-205 b,1322.0,12.45,Super Earth,2018,4.64,1.996,,0.07310062,,Transit
K2-206 b,797.0,13.084,Neptune-like,2018,8.22,2.7888,,0.050102666,,Transit
K2-207 b,1184.0,13.175,Neptune-like,2018,7.3,2.5984,,0.034223136,,Transit
K2-208 b,838.0,12.577,Super Earth,2018,3.46,1.679,,0.011498973,,Transit
K2-209 b,250.0,11.061,Terrestrial,2018,0.59,0.869,,0.005749486,,Transit
K2-210 b,576.0,11.535,Terrestrial,2018,0.57,0.86,,0.001642711,,Transit
K2-211 b,888.0,13.1547,Super Earth,2018,2.24,1.3,,0.001916496,,Transit
K2-212 b,356.0,12.977,Neptune-like,2018,7.51,2.6432,0.0785,0.026830938,,Transit
K2-213 b,1271.0,11.803,Super Earth,2018,2.9,1.514,,0.022176592,,Transit
K2-214 b,981.0,11.806,Neptune-like,2018,6.48,2.4304,0.0834,0.023545519,,Transit
K2-215 b,1318.0,12.99,Neptune-like,2018,5.16,2.124,,0.022724163,,Transit
K2-216 b,377.0,12.403,Super Earth,2018,8.0,1.75,0.028,0.006023272,,Transit
K2-217 b,1246.0,12.264,Neptune-like,2018,12.5,3.5728,,0.038603697,,Transit
K2-218 b,1285.0,12.92,Neptune-like,2018,7.13,2.5648,,0.023819301,,Transit
K2-219 b,1061.0,12.09,Super Earth,2018,2.38,1.348,,0.010677618,,Transit
K2-219 c,1061.0,12.09,Super Earth,2018,2.66,1.438,,0.0183436,,Transit
K2-219 d,1061.0,12.09,Neptune-like,2018,7.16,2.576,,0.030390145,,Transit
K2-21 b,273.0,12.851,Neptune-like,2015,4.04,1.84,0.076,0.025462013,0.1,Transit
K2-21 c,273.0,12.851,Super Earth,2015,6.76,2.4864,0.107,0.042436685,0.21,Transit
K2-220 b,762.0,11.873,Neptune-like,2018,6.3,2.3856,0.1104,0.037508555,,Transit
K2-221 b,1040.0,12.571,Super Earth,2018,3.46,1.679,,0.006570842,,Transit
K2-222 b,331.0,9.543,Neptune-like,2018,6.3,2.3856,0.1211,0.042162903,,Transit
K2-223 b,648.0,11.443,Terrestrial,2018,0.64,0.89,0.0127,0.001368925,,Transit
K2-223 c,648.0,11.443,Super Earth,2018,2.86,1.5,0.0549,0.012594113,,Transit
K2-224 b,898.0,12.7,Super Earth,2018,3.05,1.56,0.0516,0.012320329,,Transit
K2-224 c,898.0,12.7,Neptune-like,2018,6.39,2.408,0.0886,0.027652293,,Transit
K2-225 b,1167.0,11.836,Neptune-like,2018,12.0,3.4832,0.134,0.043531828,,Transit
K2-226 b,689.0,12.337,Super Earth,2018,2.99,1.54,0.0413,0.009034907,,Transit
K2-227 b,611.0,12.015,Super Earth,2018,3.41,1.666,,0.037234772,,Transit
K2-228 b,422.0,13.028,Super Earth,2018,1.92,1.21,0.0338,0.007392197,,Transit
K2-229 b,335.0,10.985,Super Earth,2018,2.49,1.0,0.0131,0.001642711,,Transit
K2-229 c,335.0,10.985,Super Earth,2018,21.3,2.03,0.0769,0.022724163,,Transit
K2-22 b,795.0,15.565,Neptune-like,2015,445.2,2.296,0.009,0.00109514,0.19,Transit
K2-230 b,1764.0,12.789,Super Earth,2018,4.5,1.96,0.0409,0.007939767,,Transit
K2-231 b,1048.0,12.768,Neptune-like,2018,6.8,2.4976,,0.03778234,,Transit
K2-232 b,426.0,9.822,Gas Giant,2018,126.56,11.2,0.10356,0.030663928,0.26,Transit
K2-233 b,220.0,10.883,Super Earth,2018,11.26,1.343,0.03308,0.006844627,0.08,Transit
